site,date,LAI,PAR_inc,PAR_surface
NHC,2016-09-13,4.206842676365362,0,0
NHC,2016-09-14,4.200540996963878,12540.07888,890.1651030299315
NHC,2016-09-15,4.170292935836752,10623.200923999999,788.5888928990843
NHC,2016-09-16,4.140044874709627,10673.983431999999,771.6389908031323
NHC,2016-09-17,4.109254690661076,12073.840408,892.4941253627311
NHC,2016-09-18,4.076404439511104,10549.637952,790.7630608896563
NHC,2016-09-19,4.043554188361132,6697.388768,503.1274413932275
NHC,2016-09-20,4.0107039372111615,6683.880308,517.7400107328956
NHC,2016-09-21,3.977264935522297,6693.9683159999995,543.3670260127541
NHC,2016-09-22,3.941588681785637,7831.989479999999,661.1419512722463
NHC,2016-09-23,3.9059124280489774,9377.539107999999,757.3030347126358
NHC,2016-09-24,3.870236174312318,11649.040563999999,932.2688989233536
NHC,2016-09-25,3.833920551869273,8339.087344,694.9267452196036
NHC,2016-09-26,3.795175328341963,7931.567335999999,690.1624116471503
NHC,2016-09-27,3.7564301048146533,8972.467112,760.1847656201221
NHC,2016-09-28,3.7176848812873433,7086.094176,656.5530863151416
NHC,2016-09-29,3.6782453771001187,9472.58032,839.3654124462395
NHC,2016-09-30,3.636167606405219,7652.19378,734.0997406288906
NHC,2016-10-01,3.594089835710319,11292.18468,999.8677754195324
NHC,2016-10-02,3.552012065015419,11132.19716,1007.6292403640877
NHC,2016-10-03,3.509180555807548,9184.108107999999,878.4853371760986
NHC,2016-10-04,3.463484840250387,10817.27458,1025.0946335299616
NHC,2016-10-05,3.4177891246932255,10718.994719999999,1039.6491959600526
NHC,2016-10-06,3.3720934091360637,6195.791531999999,652.1857659405625
NHC,2016-10-07,3.3255799034226103,5033.763784,574.1166069342928
NHC,2016-10-08,3.2759587951152462,4842.801936,582.3194202263086
NHC,2016-10-09,3.2263376868078826,10967.157179999998,1139.5614024211907
NHC,2016-10-10,3.1767165785005185,11000.74864,1166.9375107926965
NHC,2016-10-11,3.126209643023258,10832.07258,1176.8610346466348
NHC,2016-10-12,3.0723365643003913,10555.645939999999,1182.779685382553
NHC,2016-10-13,3.0184634855775245,9301.265988,1128.1250818422536
NHC,2016-10-14,2.964590406854658,9716.764232,1172.1051235247203
NHC,2016-10-15,2.909762065517115,7345.211383999999,967.1419456306372
NHC,2016-10-16,2.851303726243804,9939.317696,1256.015154473068
NHC,2016-10-17,2.792845386970493,9780.027795999998,1278.082033113969
NHC,2016-10-18,2.734387047697181,9723.228844,1309.842488985394
NHC,2016-10-19,2.6749110037178983,9628.098844,1339.4455663242338
NHC,2016-10-20,2.611567681855923,9495.779356,1370.1112633218252
NHC,2016-10-21,2.548224359993947,7954.2590119999995,1244.3304642431938
NHC,2016-10-22,2.4848810381319715,9768.248588,1501.7917095556083
NHC,2016-10-23,2.4204895790560736,9620.763264,1536.2243468076388
NHC,2016-10-24,2.352115198567271,9430.731576,1572.1885267376927
NHC,2016-10-25,2.2837408180784684,9536.5711,1652.5863740573548
NHC,2016-10-26,2.2153664375896662,9253.299328,1675.6321710092543
NHC,2016-10-27,2.1460158827757607,8186.439632,1593.1785238434031
NHC,2016-10-28,2.072955865526464,8936.757424,1773.8461509831855
NHC,2016-10-29,1.9998958482771676,8796.912096,1831.3658815665071
NHC,2016-10-30,1.926835831027871,8598.741508,1879.3772909673712
NHC,2016-10-31,1.8531531758342377,7720.602819999999,1843.7941860427125
NHC,2016-11-01,1.7771044964521239,6013.006635999999,1586.212711961091
NHC,2016-11-02,1.7010558170700103,8027.737424,2057.8997572211583
NHC,2016-11-03,1.6250071376878967,7806.739863999999,2118.8519681951757
NHC,2016-11-04,1.5493220880192125,8067.2354,2284.676195077783
NHC,2016-11-05,1.4750188312615602,8285.349463999999,2449.565294294566
NHC,2016-11-06,1.400715574503908,8140.582743999999,2542.7353960709215
NHC,2016-11-07,1.3264123177462557,7957.975423999999,2626.328847786439
NHC,2016-11-08,1.2543430489862384,7915.47134,2746.9320805015454
NHC,2016-11-09,1.1907629346172344,5075.350391999999,1955.2158831967063
NHC,2016-11-10,1.1271828202482304,7717.300752,2950.8881608110514
NHC,2016-11-11,1.0636027058792263,7680.2296479999995,3077.3426418774898
NHC,2016-11-12,1.0041298909738874,7760.633524,3253.565637307451
NHC,2016-11-13,0.9602648140304753,7199.552556,3170.351331397241
NHC,2016-11-14,0.9163997370870631,3336.0568919999996,1676.222919231806
NHC,2016-11-15,0.872534660143651,7307.320048,3398.767780356317
NHC,2016-11-16,0.8328752182774329,6183.310476,3013.4927379552937
NHC,2016-11-17,0.8091971897045523,7159.8135839999995,3506.8275345038724
NHC,2016-11-18,0.7855191611316718,7097.7676839999995,3538.9508714258545
NHC,2016-11-19,0.7618411325587912,6638.792915999999,3398.2210022103172
NHC,2016-11-20,0.7408947023474707,7206.017167999999,3712.4622280300036
NHC,2016-11-21,0.730328345910079,7097.991767999999,3680.761876610101
NHC,2016-11-22,0.7197619894726873,7132.526072,3716.055691144016
NHC,2016-11-23,0.7091956330352956,6702.999323999999,3531.238361494409
NHC,2016-11-24,0.6999472131167812,4094.4163399999998,2291.565066733897
NHC,2016-11-25,0.6957069519700003,4282.109944,2442.9050491543926
NHC,2016-11-26,0.6914666908232194,6744.632439999999,3597.4820836787117
NHC,2016-11-27,0.6872264296764385,6820.73644,3640.0901931559933
NHC,2016-11-28,0.6835315630532273,5344.17086,2937.0464918105527
NHC,2016-11-29,0.6819091956195802,2614.5148679999998,1560.197426582782
NHC,2016-11-30,0.6802868281859331,4721.49216,2665.2152301418673
